run_id,job_index,dataset_size,last_train_loss,last_val_loss,last_token_acc,last_perplexity,data_idx
20260000_000000,0,200,0.6017054355144501, 0.58258316218853, 0.9072800229292061, 1.7906580216992094,0
20260313_132337,0,200,0.46106238186359405,0.30822633966803553,0.9343651476067641,1.3610090044040262,200
20260313_132923,1,200,0.17173180911689997,0.07416813729330897,0.9782919165952585,1.0769878720995105,400
20260313_133510,2,200,0.07907298744656145,0.09079613473266362,0.9742477636215776,1.09504574070862,600
20260313_134240,3,200,0.11756011319346726,0.09449252517893911,0.9702592446374523,1.0991009475193745,800
20260313_232504,1,8000,0.07378516950004269,0.05297348640859127,0.983474210798689,1.054401688773189,8000
20260313_003220,2,8000,0.047660720082575506,0.050734292603447105,0.983715715025013,1.0520433204508262,16000
20260313_013523,3,8000,0.046859954082303576,0.04283509136759676,0.9872587272538932,1.0437657546741494,24000
20260313_025101,4,8000,0.038590702128664514,0.04457570873011719,0.9869824936984221,1.045584133560968,32000
20260313_031644,5,8000,0.0484931056010235,0.04326021036986882,0.9874364630286756,1.0442095736616408,40000
20260313_043636,6,8000,0.03730717745590179,0.044866028796338164,0.9860937949554043,1.0458877316840443,48000
